类别,精确率,召回率,F1-score,支持数
Banana,0.918918918918919,0.9444444444444444,0.9315068493150684,36.0
Chinese Bayberry,0.8536585365853658,0.9459459459459459,0.8974358974358975,37.0
Coconut,0.9117647058823529,0.8157894736842105,0.861111111111111,38.0
Dragon Fruit or Pitaya,0.9722222222222222,0.9722222222222222,0.9722222222222222,36.0
Kumquat,0.9459459459459459,1.0,0.9722222222222222,35.0
Litchi,0.8918918918918919,0.868421052631579,0.88,38.0
Longan,0.9,0.9473684210526315,0.9230769230769231,38.0
Mango,0.9666666666666667,0.8787878787878788,0.9206349206349207,33.0
Pineapple,0.9428571428571428,0.8918918918918919,0.9166666666666667,37.0
Pomelo,0.868421052631579,0.8918918918918919,0.88,37.0
accuracy,0.915068493150685,0.915068493150685,0.915068493150685,0.915068493150685
macro avg,0.9172347083602086,0.9156763222552696,0.9154876812685032,365.0
weighted avg,0.9162487643598678,0.915068493150685,0.9146956627534597,365.0
