类别,精确率,召回率,F1-score,支持数
Banana,0.22033898305084745,0.3611111111111111,0.27368421052631575,36.0
Chinese Bayberry,0.42105263157894735,0.43243243243243246,0.4266666666666667,37.0
Coconut,0.375,0.23684210526315788,0.2903225806451613,38.0
Dragon Fruit or Pitaya,0.38461538461538464,0.1388888888888889,0.20408163265306123,36.0
Kumquat,0.29411764705882354,0.42857142857142855,0.3488372093023256,35.0
Litchi,0.24528301886792453,0.34210526315789475,0.2857142857142857,38.0
Longan,0.358974358974359,0.3684210526315789,0.36363636363636365,38.0
Mango,0.5,0.5151515151515151,0.5074626865671642,33.0
Pineapple,0.68,0.4594594594594595,0.5483870967741935,37.0
Pomelo,0.20689655172413793,0.16216216216216217,0.18181818181818182,37.0
accuracy,0.3424657534246575,0.3424657534246575,0.3424657534246575,0.3424657534246575
macro avg,0.3686278575870424,0.344514541882963,0.3430610914303719,365.0
weighted avg,0.3676119863651071,0.3424657534246575,0.3415533864415911,365.0
