类别,精确率,召回率,F1-score,支持数
Banana,0.22727272727272727,0.1388888888888889,0.1724137931034483,36.0
Chinese Bayberry,0.28125,0.24324324324324326,0.26086956521739135,37.0
Coconut,0.3409090909090909,0.39473684210526316,0.36585365853658536,38.0
Dragon Fruit or Pitaya,0.4666666666666667,0.19444444444444445,0.27450980392156865,36.0
Kumquat,0.30434782608695654,0.2,0.24137931034482762,35.0
Litchi,0.2,0.34210526315789475,0.2524271844660194,38.0
Longan,0.3333333333333333,0.23684210526315788,0.2769230769230769,38.0
Mango,0.17647058823529413,0.2727272727272727,0.21428571428571427,33.0
Pineapple,0.39285714285714285,0.2972972972972973,0.3384615384615385,37.0
Pomelo,0.20689655172413793,0.32432432432432434,0.25263157894736843,37.0
accuracy,0.26575342465753427,0.26575342465753427,0.26575342465753427,0.26575342465753427
macro avg,0.29300039270853495,0.26446096814517867,0.2649755224207539,365.0
weighted avg,0.29390649404752295,0.26575342465753427,0.26616252641300575,365.0
